FL_0,FL_1,FL_2
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.4442911546145
20.477279377007992,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.59799855883028,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.4442911546145
20.477279377007992,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.4442911546145
20.477279377007992,66.59799855883028,-159.4442911546145
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60493803102702,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.59799855883028,-159.44198255067502
20.48074911310636,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.4442911546145
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.48074911310636,66.60146829492865,-159.44198255067502
20.477279377007992,66.60146829492865,-159.44198255067502
