timestamp,elapsed,battery,mode,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_speed,roll,pitch,yaw,footf_0,footf_1,footf_2,footf_3,stability_smooth,speed_score_smooth,time_score_smooth,total_score
2025-10-30T20:32:21.736398,0.194,77.0,1,0.076,-0.017,0.302,0.002,0.000,0.002,-0.002,-0.034,0.004,0.055,847,933,874,847,831.647023,0.0,-2.0,829.647
2025-10-30T20:32:21.936732,0.394,77.0,1,0.077,-0.017,0.302,0.001,-0.000,0.002,-0.006,-0.034,0.004,0.055,847,934,873,848,834.285439,0.0,-3.0,831.285
2025-10-30T20:32:22.137035,0.595,77.0,1,0.077,-0.017,0.302,0.001,-0.000,0.002,0.014,-0.034,0.004,0.054,847,934,874,849,836.181591,0.0,-4.0,832.182
2025-10-30T20:32:22.337435,0.794,77.0,1,0.077,-0.017,0.302,0.000,-0.000,0.002,-0.008,-0.034,0.004,0.054,848,935,874,849,839.079097,0.0,-5.0,834.079
2025-10-30T20:32:22.537862,0.995,77.0,1,0.077,-0.017,0.302,0.001,0.000,0.002,0.001,-0.034,0.004,0.054,847,934,875,848,840.329014,0.0,-6.0,834.329
2025-10-30T20:32:22.738198,1.194,77.0,1,0.077,-0.017,0.302,0.000,0.000,0.002,-0.007,-0.034,0.004,0.054,847,935,875,848,841.976717,0.0,-8.0,833.977
2025-10-30T20:32:22.938527,1.395,77.0,1,0.078,-0.017,0.302,0.001,0.000,0.002,0.003,-0.034,0.004,0.054,847,936,875,847,842.403798,0.0,-10.0,832.404
2025-10-30T20:32:23.138837,1.594,77.0,1,0.078,-0.017,0.302,0.000,0.001,0.002,-0.005,-0.034,0.004,0.054,847,936,876,848,842.002468,0.0,-12.0,830.002
2025-10-30T20:32:23.339332,1.795,77.0,1,0.078,-0.017,0.302,-0.000,0.001,0.002,-0.012,-0.034,0.004,0.054,848,937,876,847,839.694907,0.0,-14.0,825.695
2025-10-30T20:32:23.539736,1.996,77.0,1,0.078,-0.017,0.302,-0.000,0.001,0.003,-0.007,-0.034,0.004,0.054,847,938,877,847,837.910462,0.0,-16.0,821.910
2025-10-30T20:32:23.740037,2.194,77.0,1,0.078,-0.017,0.302,-0.000,0.000,0.002,0.001,-0.034,0.004,0.054,848,937,878,848,839.104015,0.0,-18.0,821.104
2025-10-30T20:32:23.940433,2.393,77.0,1,0.078,-0.017,0.302,0.000,-0.000,0.002,0.007,-0.034,0.004,0.054,847,937,878,848,841.865985,0.0,-20.0,821.866
2025-10-30T20:32:24.140786,2.594,77.0,2,0.092,-0.013,0.303,0.149,0.044,0.002,-0.065,-0.035,-0.018,0.063,863,919,883,878,801.428187,1.2,-22.0,780.628
2025-10-30T20:32:24.341101,2.795,77.0,2,0.141,-0.006,0.308,0.305,0.015,0.124,0.083,-0.037,-0.019,0.081,870,916,898,869,753.208109,3.0,-24.0,732.208
2025-10-30T20:32:24.541454,2.995,76.0,0,0.220,-0.002,0.304,0.533,0.004,0.031,0.111,-0.029,-0.020,0.073,875,884,878,873,750.692739,6.0,-26.0,730.693
2025-10-30T20:32:24.741887,3.196,76.0,2,0.341,0.010,0.309,0.657,-0.015,-0.051,-0.194,-0.035,-0.035,0.077,887,884,885,902,662.684578,10.2,-28.0,644.885
2025-10-30T20:32:24.942293,3.394,76.0,2,0.519,0.023,0.306,0.983,-0.012,-0.001,0.134,-0.030,-0.032,0.078,882,889,878,894,597.025891,16.2,-30.0,583.226
2025-10-30T20:32:25.142640,3.594,76.0,2,0.710,0.056,0.298,1.004,0.031,0.107,0.075,-0.035,-0.037,0.085,870,884,903,887,546.260466,21.0,-32.0,535.260
