timestamp,elapsed,battery,mode,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_speed,roll,pitch,yaw,footf_0,footf_1,footf_2,footf_3,stability_smooth,speed_score_smooth,time_score_smooth,total_score
2025-10-30T20:40:37.386285,0.083,60.0,1,0.118,0.670,0.302,0.003,0.001,0.002,-0.002,-0.034,0.001,-1.776,853,844,884,887,849.539129,0.0,-1.0,848.539
2025-10-30T20:40:37.586582,0.283,60.0,2,0.117,0.670,0.303,0.020,-0.019,-0.081,0.004,-0.032,-0.006,-1.775,856,848,890,878,893.690202,0.0,-2.0,891.690
2025-10-30T20:40:37.786888,0.485,60.0,2,0.117,0.657,0.302,0.141,0.033,0.062,0.094,-0.037,-0.014,-1.773,869,897,906,894,805.778761,1.0,-3.0,803.779
2025-10-30T20:40:37.987347,0.683,60.0,2,0.115,0.615,0.310,0.300,0.024,-0.082,-0.094,-0.047,-0.017,-1.763,851,890,887,865,703.567201,3.0,-4.0,702.567
2025-10-30T20:40:38.187762,0.882,60.0,2,0.097,0.535,0.300,0.526,-0.020,-0.044,0.137,-0.034,-0.012,-1.758,865,894,868,876,720.636056,5.4,-5.0,721.036
2025-10-30T20:40:38.388161,1.083,60.0,2,0.077,0.437,0.299,0.528,-0.022,0.046,0.010,-0.035,-0.008,-1.759,879,896,896,891,706.531994,8.4,-7.0,707.932
2025-10-30T20:40:38.588509,1.283,60.0,2,0.058,0.332,0.307,0.528,0.009,0.141,0.024,-0.042,-0.005,-1.743,867,900,898,874,628.401203,11.4,-9.0,630.801
2025-10-30T20:40:38.788803,1.483,60.0,2,0.032,0.218,0.303,0.672,-0.050,-0.109,1.115,-0.023,-0.011,-1.687,877,881,880,877,804.173662,15.0,-11.0,808.174
2025-10-30T20:40:38.989002,1.683,60.0,2,0.031,0.117,0.304,0.401,-0.036,0.019,0.207,-0.075,-0.010,-1.473,866,890,890,912,759.462618,15.6,-13.0,762.063
2025-10-30T20:40:39.189293,1.882,60.0,2,0.044,0.025,0.303,0.467,0.037,0.113,0.113,-0.080,-0.013,-1.435,879,891,893,897,632.221404,15.6,-15.0,632.821
2025-10-30T20:40:39.389596,2.082,60.0,2,0.061,-0.070,0.299,0.534,0.003,0.048,0.179,-0.072,-0.013,-1.438,877,904,872,890,514.137819,15.6,-17.0,512.738
2025-10-30T20:40:39.589877,2.282,60.0,2,0.079,-0.170,0.308,0.513,0.027,-0.092,0.160,-0.072,-0.015,-1.420,878,902,881,874,441.356293,15.6,-19.0,437.956
2025-10-30T20:40:39.790184,2.483,60.0,2,0.098,-0.275,0.291,0.552,-0.110,-0.051,1.058,-0.088,-0.020,-1.170,880,879,887,881,164.071433,15.0,-21.0,158.071
2025-10-30T20:40:39.990472,2.685,60.0,2,0.123,-0.371,0.302,0.476,-0.040,0.074,0.069,-0.066,-0.005,-1.120,859,894,880,876,175.494455,15.6,-23.0,168.094
2025-10-30T20:40:40.190753,2.882,60.0,2,0.164,-0.460,0.300,0.532,0.006,0.033,1.537,-0.063,-0.010,-1.015,897,889,888,885,193.677124,15.6,-25.0,184.277
2025-10-30T20:40:40.391060,3.082,60.0,2,0.224,-0.525,0.290,0.432,0.079,-0.011,0.502,-0.122,-0.012,-0.771,887,881,913,884,169.337312,15.0,-27.0,157.337
2025-10-30T20:40:40.591677,3.283,60.0,2,0.305,-0.592,0.299,0.509,0.043,0.016,0.008,-0.098,0.007,-0.731,870,894,902,898,153.250669,15.0,-29.0,139.251
2025-10-30T20:40:40.792017,3.483,60.0,2,0.390,-0.678,0.300,0.564,-0.002,0.074,0.197,-0.072,0.006,-0.717,869,911,891,888,166.686199,15.0,-31.0,150.686
2025-10-30T20:40:40.992594,3.702,60.0,0,0.476,-0.748,0.301,0.499,0.033,0.048,0.099,-0.051,-0.001,-0.719,868,916,890,896,197.476247,15.0,-33.0,179.476
2025-10-30T20:40:41.192928,3.883,60.0,2,0.552,-0.798,0.301,0.539,-0.006,-0.089,1.979,-0.076,-0.007,-0.559,868,900,900,883,182.864974,15.0,-35.0,162.865
2025-10-30T20:40:41.393235,4.102,60.0,2,0.649,-0.842,0.298,0.504,0.006,0.029,0.335,-0.114,0.003,-0.327,870,884,870,886,184.995061,15.6,-37.0,163.595
2025-10-30T20:40:41.593605,4.302,60.0,2,0.750,-0.874,0.299,0.565,-0.008,0.148,0.049,-0.098,0.012,-0.307,872,915,863,889,184.836104,16.2,-39.0,162.036
2025-10-30T20:40:41.793892,4.503,60.0,2,0.852,-0.911,0.308,0.487,0.009,0.077,-0.073,-0.081,0.005,-0.288,891,901,888,917,177.512467,15.6,-41.0,152.112
2025-10-30T20:40:41.994242,4.702,60.0,2,0.946,-0.939,0.300,0.535,0.037,-0.084,0.069,-0.060,-0.005,-0.288,884,883,898,906,155.180666,15.6,-43.0,127.781
2025-10-30T20:40:42.194541,4.904,60.0,2,1.047,-0.961,0.305,0.523,0.003,-0.037,-0.002,-0.060,-0.000,-0.288,885,897,902,921,177.457347,15.6,-45.0,148.057
2025-10-30T20:40:42.394844,5.104,60.0,2,1.148,-0.990,0.307,0.529,0.006,0.119,0.129,-0.062,0.000,-0.273,891,894,905,914,214.718712,15.6,-47.0,183.319
2025-10-30T20:40:42.595168,5.305,60.0,2,1.239,-1.014,0.305,0.505,0.010,-0.011,0.163,-0.055,-0.007,-0.274,883,868,878,891,258.279912,15.0,-49.0,224.280
2025-10-30T20:40:42.795473,5.502,60.0,2,1.338,-1.036,0.312,0.508,0.014,-0.085,-0.136,-0.060,-0.011,-0.264,878,890,887,855,282.295197,15.0,-51.0,246.295
